"Request ID","Request Type","Employee ID","Request Date","Notes","Status","Processed By","Date Processed","Remarks"
"R2025-1","L2025-1","10002","2025-02-01","","APPROVED","","",""
"R2025-2","L2025-2","10001","2025-02-02","Will visit family in province.","APPROVED","10001","2025-03-15",""
"R2025-3","L2025-3","10003","2025-02-03","","APPROVED","10001","2025-03-15",""
"R2025-4","L2025-4","10003","2025-02-04","","REJECTED","","",""
"R2025-5","L2025-5","10004","2025-02-05","Test","REJECTED","10001","2025-03-15",""
"R2025-6","L2025-6","10005","2025-02-06","","PENDING","","",""
"R2025-7","L2025-7","10006","2025-02-07","","APPROVED","","",""
"R2025-8","L2025-8","10001","2025-02-08","","PENDING","","",""
"R2025-9","L2025-9","10007","2025-02-09","","PENDING","","",""
"R2025-10","L2025-10","10002","2025-02-10","","PENDING","","",""
"R2025-11","L2025-11","10008","2025-02-11","","PENDING","","",""
"R2025-12","L2025-12","10009","2025-03-02","","PENDING","","",""
"R2025-13","L2025-13","10010","2025-03-02","","PENDING","","",""
"R2025-14","L2025-14","10011","2025-03-02","","PENDING","","",""
"R2025-15","L2025-15","10012","2025-03-02","","PENDING","","",""
"R2025-16","L2025-16","10013","2025-03-03","","PENDING","","",""
"R2025-17","L2025-17","10014","2025-03-03","","PENDING","","",""
"R2025-18","L2025-18","10015","2025-03-04","","PENDING","","",""
"R2025-19","L2025-19","10016","2025-03-04","Hospital confinement","PENDING","","",""
"R2025-20","L2025-20","10017","2025-03-04","","PENDING","","",""
"OT2025-1","OT2025-1","10003","2025-03-01","","APPROVED","10001","2025-06-21",""
"OT2025-2","OT2025-2","10004","2025-03-01","test","REJECTED","10001","2025-03-15",""
"OT2025-3","OT2025-3","10001","2025-03-01","","PENDING","","",""
"OT2025-4","OT2025-4","10002","2025-03-01","","PENDING","","",""
"OT2025-5","OT2025-5","10003","2025-03-01","","PENDING","","",""
"OT2025-6","OT2025-6","10004","2025-03-01","test","REJECTED","10001","2025-03-15",""
"OT2025-7","OT2025-7","10005","2025-03-01","","PENDING","","",""
"OT2025-8","OT2025-8","10006","2025-03-01","","PENDING","","",""
"OT2025-9","OT2025-9","10007","2025-03-01","","PENDING","","",""
"OT2025-10","OT2025-10","10008","2025-03-01","","APPROVED","10001","2025-03-15",""
"OT2025-11","OT2025-11","10009","2025-03-01","","PENDING","","",""
"OT2025-12","OT2025-12","10010","2025-03-02","","PENDING","","",""
"OT2025-13","OT2025-13","10011","2025-03-02","","PENDING","","",""
"OT2025-14","OT2025-14","10012","2025-03-02","","PENDING","","",""
"OT2025-15","OT2025-15","10013","2025-03-02","","PENDING","","",""
"OT2025-16","OT2025-16","10014","2025-03-02","","PENDING","","",""
"OT2025-17","OT2025-17","10015","2025-03-02","","PENDING","","",""
"OT2025-18","OT2025-18","10016","2025-03-02","","PENDING","","",""
"OT2025-19","OT2025-19","10017","2025-03-03","","PENDING","","",""
"OT2025-20","OT2025-20","10018","2025-03-03","","PENDING","","",""
"OT2025-21","OT2025-21","10019","2025-03-03","","PENDING","","",""
"OT2025-22","OT2025-22","10020","2025-03-03","","PENDING","","",""
"OT2025-23","OT2025-23","10021","2025-03-03","","PENDING","","",""
"OT2025-24","OT2025-24","10022","2025-03-03","","PENDING","","",""
"OT2025-25","OT2025-25","10023","2025-03-03","","PENDING","","",""
"OT2025-26","OT2025-26","10024","2025-03-03","","PENDING","","",""
"OT2025-27","OT2025-27","10025","2025-03-04","","PENDING","","",""
"REQ00001","OT00001","10003","2025-03-14","","PENDING","","",""
"REQ00002","OT00002","10003","2025-03-14","","PENDING","","",""
"REQ00003","LEA00001","10003","2025-03-14","","PENDING","","",""
"REQ00004","OT00003","10003","2025-03-15","","PENDING","","",""
"REQ00005","LEA00002","10003","2025-03-15","","PENDING","","",""
"REQ00006","OT00004","10003","2025-03-15","","PENDING","","",""
"REQ00007","LEA00003","10003","2025-03-15","Test","PENDING","","",""
